Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PhotoAmt,AdoptionSpeed
2,10,265,264,2,1,2,4,3,2,2,2,2,1,1,0,41401,e3ed2ff1f9caa14bcd6c89a97def279e,0,1.0,1
1,5,307,0,2,2,6,0,2,2,3,1,2,1,1,0,41330,1e2e2692cf0ad33449edb40196b5c7b3,0,3.0,4
2,2,252,299,2,1,0,0,2,2,2,1,2,1,1,150,41326,d7cfc144e0649ad8e9acc77eec170cd4,0,4.0,2
2,4,266,0,1,3,7,0,2,1,1,1,1,1,1,0,41326,7b107e61f7d24a581e46e0abc4d2a7a7,0,3.0,4
2,2,265,0,2,1,7,0,1,1,2,1,2,1,1,0,41332,c615548c8536989d6ff41c0428b59496,0,3.0,1
2,2,266,0,2,4,7,0,1,1,1,1,2,1,3,0,41401,3693af20f57afad9524f55621d927d0c,0,7.0,2
2,24,266,266,1,3,4,0,2,1,1,1,1,1,1,0,41326,a41605e586f66ae37b61d766d5e37e43,0,5.0,2
1,36,307,0,2,6,0,0,2,1,1,1,1,1,1,50,41326,6d32095b0908520916300daeba129541,0,5.0,4
2,1,266,0,1,6,7,0,1,1,2,1,2,1,1,0,41401,1de5f1042eb8ba2195eb0178a4813b34,0,0.0,1
1,60,207,307,2,3,5,7,2,2,1,1,1,1,1,0,41326,0cbdc6e22f0efa879bb14c1e751b2966,0,0.0,2
1,3,103,307,1,2,0,0,2,1,1,1,2,1,1,0,41401,bf1279c08cecd6ad300a36a9053b7aef,0,4.0,1
1,9,218,307,2,1,2,6,2,2,1,1,1,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,2.0,4
1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,88cdead4e847cdbc01bc63a3dba765cb,0,5.0,2
1,36,307,0,2,2,7,0,3,1,1,1,1,2,1,0,41326,c28d7a4697a2b731ec973c4c95ff8321,0,4.0,4
2,2,266,0,3,1,2,7,2,2,2,2,2,1,3,0,41326,4498d142bb66b8e343c3fd2ff29308fe,2,17.0,1
2,2,292,292,3,1,7,0,2,2,2,2,2,1,2,0,41326,ac1395e3104ff17bb81a08c149c27c3e,0,5.0,1
2,1,266,0,3,4,6,7,1,1,2,2,2,1,5,0,41336,cda9cadac8f524c705970b4ceccf2e5a,0,5.0,3
2,6,265,265,2,6,7,0,2,1,3,3,3,1,1,0,41401,82942c8add12ca7839b64ff222d8569e,0,3.0,3
2,4,266,292,2,7,0,0,1,1,2,2,2,1,1,0,41401,39849ebd0785eeecbb0ac4c91fb73510,0,2.0,4
2,3,266,266,2,1,4,7,2,1,1,1,2,1,2,0,41326,560b127e4719a5044f0e7e6e449245ed,0,3.0,1
1,2,307,307,1,2,3,5,1,1,2,2,3,1,3,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,1.0,3
2,7,266,266,2,4,7,0,2,1,2,2,2,1,1,0,41332,bdd24ce145a2e17c1356b789c31b33f7,0,5.0,4
2,7,266,0,2,6,0,0,1,1,1,1,3,1,1,0,41401,638b74ed6b098c239184625b1211ecee,0,1.0,4
2,2,266,0,2,3,0,0,1,1,2,1,2,1,1,0,41326,a889a765a2f15aa5cae05f775347d1d5,0,1.0,2
2,3,247,243,2,1,3,6,2,1,2,2,2,1,1,0,41326,498a3034cb70c571be25f76c8b679f0c,0,3.0,1
1,3,307,0,1,2,7,0,2,2,2,1,2,1,1,100,41326,a23a047157d709e38cf801a723a246ba,0,3.0,2
1,2,307,189,2,2,7,0,2,1,2,2,2,1,1,0,41401,88da1210e021a5cf43480b074778f3bc,0,3.0,2
1,1,307,0,3,1,7,0,2,1,2,2,3,1,2,80,41336,09cd7e41c1b785d76b0fa4571fe18a83,0,2.0,3
1,6,307,307,2,5,7,0,2,1,1,1,1,1,2,0,41332,c992c6f97bb6cfb719fa9ccb3ef6e53b,0,3.0,4
2,3,266,0,3,1,3,7,1,1,2,1,2,1,2,300,41401,a95ee237ed86e217f18c92fe4edbe6b0,0,8.0,1
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,14.0,3
2,5,266,0,3,1,2,0,2,1,2,1,2,1,7,0,41326,a16775fb5ff0b38ff8beab7e89cb0f20,0,9.0,4
1,36,307,0,1,1,2,0,2,1,2,2,2,2,1,0,41326,0b996c8c7f49d0cc9bf769743251fa67,0,3.0,3
1,1,307,0,1,1,7,0,2,2,2,2,2,1,3,0,41326,d00009dafb950a47927b97d681b13194,0,4.0,1
2,3,265,0,2,2,4,0,1,2,2,2,2,1,1,0,41326,c5f05a0937608368f162868db4d0bc87,0,1.0,0
1,20,147,218,2,7,0,0,1,2,1,1,1,1,1,400,41326,757bd05b647b5448c5703b39a2f0d9ff,0,2.0,1
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,4.0,2
2,55,265,0,2,2,6,7,3,2,1,1,1,1,1,150,41327,cec3b09a5c599ec1da05e5e09856bfc0,0,5.0,4
2,10,266,0,1,2,0,0,2,1,1,1,1,1,1,100,41401,8ffce5c58bc69ccac0ceee68ddce6ffd,0,1.0,4
1,4,218,2,2,1,2,7,2,1,2,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,5.0,1
1,2,307,0,3,2,5,7,1,1,2,1,2,1,10,0,41326,50a39908593505291b7eca369fbcdc53,0,8.0,3
2,2,266,0,1,1,6,7,1,1,1,1,2,2,1,0,41326,c548bbe8eee34be56ab3833d372612d1,0,26.0,3
1,1,307,0,3,1,2,0,2,1,2,2,1,1,7,20,41326,ec4297c0e4f3c8f850bee352942a4fe1,0,1.0,4
1,12,307,0,2,1,0,0,1,1,1,1,1,1,1,0,41326,420181c9b53ba25b96599f831b85a82b,0,2.0,4
1,2,307,307,2,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,1.0,3
2,3,266,0,2,6,7,0,2,1,2,1,2,1,1,50,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,7.0,1
1,2,307,307,2,2,7,0,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,4.0,3
1,6,307,307,1,1,2,0,2,1,1,1,2,1,1,0,41327,efe22434e3de49fcf94fdeb757ed1bb8,0,1.0,3
1,24,76,0,2,1,7,0,2,1,1,1,3,1,1,0,41401,089e417709c6a37839fc155af6b63196,0,2.0,1
2,16,250,0,1,1,0,0,3,2,1,1,1,1,1,0,41401,ea847b5a7607da90e35d6518fad4b694,0,1.0,4
1,36,189,307,2,1,0,0,3,1,3,3,3,1,1,350,41326,747c9b72ddd4bd52da97ae26461c9742,1,1.0,4
1,12,195,179,1,6,0,0,1,2,1,1,3,1,1,100,41401,eba68472a648e066204509ffe1667c82,0,2.0,0
2,2,266,303,2,1,3,0,1,1,1,1,2,1,3,0,41326,42d5612bc1a78caec3e1342449cb08fd,0,10.0,3
2,18,292,0,2,2,0,0,2,1,2,1,1,1,1,200,41401,75f33329b1c9fc92cf46116ca0ea737f,0,4.0,2
2,1,266,265,3,1,4,7,1,2,2,2,2,1,2,0,41401,c527f5c0d229394f90c927ea38189c94,0,2.0,3
2,1,266,0,3,1,3,4,1,1,3,1,3,1,2,0,41327,307ab9ff7ea767d1ceed1a5ebb3bb67f,2,10.0,3
2,6,265,0,1,2,4,0,2,2,1,1,1,1,1,0,41326,01c59e6ccc820114cdf777c58904a65c,0,1.0,0
1,48,109,0,2,3,0,0,3,3,1,1,1,1,1,0,41326,f9730ff74b69faddca309d0e2ec6a9ac,0,3.0,3
1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,1.0,4
2,1,266,0,3,1,5,7,2,1,2,2,2,1,5,0,41401,5e21416ee557e7470d1113dd98a7e3ae,0,3.0,2
2,3,265,0,3,1,2,7,2,2,2,2,2,1,4,0,41401,b94f78debb8b5e783a05a805607e587c,0,5.0,3
2,18,265,0,2,1,3,7,2,2,1,2,2,1,1,0,41326,29628d78a433991086f741d6b337fce5,0,4.0,4
1,5,307,0,1,2,0,0,2,1,1,1,1,1,1,0,41326,bd635ed566167b6bfaab1429ef7b751e,0,5.0,2
1,1,307,307,2,2,3,7,1,1,2,1,2,1,1,0,41332,4035634f232bef0059bdf2388ae6f06f,0,2.0,4
2,17,264,0,2,1,0,0,2,3,1,1,2,1,1,0,41401,3e99fe1b430e5765d11eb2b697df94b8,0,5.0,1
2,3,266,0,3,1,7,0,2,1,1,1,2,1,3,0,41330,99d1a8f3d75f213d91f588f70bb3b96b,0,9.0,4
1,1,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,8.0,2
2,12,265,0,2,2,5,0,2,2,2,2,2,1,2,0,41326,9275d409b4e6a080858d384c5affeec6,0,4.0,1
2,48,266,266,1,1,2,7,3,1,1,1,1,1,2,0,41401,e015aee9a0cc17c87705f9cde1771e63,0,1.0,4
2,2,266,0,2,4,7,0,1,2,2,2,2,1,1,0,41326,f6588ebd0fae360763afd75b3e858518,0,10.0,1
1,7,307,307,2,1,0,0,2,1,1,1,1,1,1,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,3.0,4
1,3,307,0,2,1,2,4,3,2,2,2,1,1,4,0,41336,d581d43be85c983e9b95a2eaaf0d7a8d,0,4.0,3
1,1,307,307,1,1,2,0,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,1.0,3
1,1,307,307,3,1,2,3,1,1,2,1,2,1,3,0,41326,3728dfc69d973107114ebd9c01366f5a,0,5.0,4
1,5,307,307,2,1,7,0,2,1,1,1,1,1,1,0,41401,3e7af740ebbb62b9f9263af775d1fa5f,0,1.0,4
1,2,307,307,2,1,2,0,3,1,2,1,2,1,1,50,41332,f8ac73e4e6354fca89ef2574d0bc50f5,0,2.0,4
2,1,266,0,3,3,4,0,2,1,2,2,2,1,4,0,41326,53bfb807ef3ddd6b46f383fb8192987f,0,3.0,1
1,8,141,307,3,1,0,0,2,1,1,1,2,1,2,0,41401,9238e4f44c71a75282e62f7136c6b240,0,7.0,3
2,3,265,0,3,5,6,7,2,2,2,2,2,1,3,0,41401,22d9e67d412f25866e09f2c098a6ebef,0,5.0,2
2,18,266,0,2,1,2,3,2,1,1,1,1,1,1,300,41336,74f948f57b5ac2ac0ae60fe0b0076ea7,0,3.0,3
1,5,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41327,3fd88396eec81e232ca821fc302f33eb,0,3.0,3
2,6,265,0,1,2,0,0,2,2,1,1,3,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,2.0,4
2,6,283,0,2,1,7,0,1,1,2,2,2,1,1,30,41326,b35c3805fb8b7a7068887e591b260883,0,1.0,4
1,2,239,307,2,1,2,0,2,1,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,4.0,2
2,17,266,292,2,2,5,0,2,1,1,1,1,1,1,100,41401,1322d367e6491ff91febf9d5b5c05326,0,5.0,2
2,7,264,266,2,2,0,0,3,3,2,1,2,1,1,15,41326,35ca0af7f781e96744e8371c35b07944,0,2.0,1
2,1,266,0,2,3,6,7,2,1,2,2,2,1,1,0,41326,3f3348ce68fbd660aea357b660d8f388,0,1.0,1
1,48,307,0,2,7,0,0,2,2,1,1,1,1,1,0,41336,2a7fb9850eff9fc6752d9c3df6b8a490,0,0.0,4
1,36,307,0,2,2,0,0,2,1,2,2,3,1,1,0,41326,f20fffd4d21f1bae5e94f3df455ed3b2,0,3.0,2
2,1,264,266,1,2,3,7,3,1,2,2,2,1,1,0,41326,a9caef3f98e67bfac9093cca79e20b93,0,4.0,3
2,6,265,0,1,1,7,0,2,2,3,3,3,1,1,0,41326,b770216a74e00455e9d626e5ee0ee0ac,0,2.0,1
1,1,307,0,1,1,7,0,2,2,2,2,2,1,1,0,41326,e194190fa50fdc969ef1e4d063ea7851,0,4.0,1
2,3,266,0,2,1,0,0,2,2,2,2,2,1,1,0,41326,c97c9fdf4f9e4c3c2839ca6279a22742,0,1.0,4
2,3,285,265,2,3,0,0,3,2,2,1,2,1,1,150,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,7.0,3
2,30,272,0,2,1,3,7,2,2,1,1,1,1,1,0,41401,cb42743b2cea1299f1f1fdfd1ebd49dc,0,2.0,2
2,7,266,266,2,7,0,0,2,1,1,1,1,1,1,0,41401,f7df4784406d61e987b25edb9f657f9b,0,3.0,4
1,11,307,0,1,2,7,0,2,2,1,1,1,1,1,0,41326,2e53c8cd2454a77eb195a039ee28b8f6,0,1.0,4
2,1,268,0,3,1,6,7,2,1,2,2,2,1,3,0,41326,f785961a3984e8adc7bf95c73e1c2544,0,1.0,1
2,4,266,0,1,2,5,0,2,1,3,3,2,1,1,0,41326,b624cd4ca0bb3222c8f551419a96f948,0,3.0,1
1,36,100,0,2,4,0,0,1,1,2,2,3,2,1,0,41326,c99ee6a840269d38444b5608b918022f,0,1.0,1
2,120,266,0,1,3,0,0,3,1,1,1,1,1,1,0,41326,8f249aa58e29f16be754f494813c56df,0,1.0,3
2,1,266,0,2,2,6,7,1,1,3,3,2,1,1,30,41326,a8ca8d8e64c062e8efa52fe5433508ac,0,1.0,4
1,24,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41401,c99c4ff29f8f37417267af48242600e2,0,1.0,3
2,2,265,0,1,1,7,0,2,2,2,1,2,1,1,0,41332,c615548c8536989d6ff41c0428b59496,0,6.0,1
1,3,307,0,3,5,0,0,2,1,1,1,1,1,3,0,41326,99c608c0633d9814487d6c682ddae78e,0,2.0,4
2,1,266,0,1,3,7,0,1,1,2,2,2,1,1,0,41401,38b7c871e5a044aedb84f40878616221,0,4.0,4
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,1.0,3
2,6,266,0,1,3,7,0,2,1,2,1,2,1,1,30,41326,74dabecce4ddb0c4d08892255974496b,0,1.0,3
1,3,307,141,3,1,0,0,2,1,2,2,2,1,3,0,41401,c944889704c7b141cc60760c48682855,0,8.0,4
1,72,20,307,2,1,2,3,2,2,1,1,1,1,1,0,41326,0d86035d2266358c196cb69596a798ea,0,1.0,3
2,4,299,0,1,4,7,0,1,2,1,1,2,1,1,0,41401,817cbe88f966a32e98e461d315cf8757,0,7.0,3
1,2,307,307,3,1,2,7,2,2,2,2,2,1,3,50,41326,08b2735e5d9535cc93fc30d0891172f4,0,9.0,4
1,24,179,0,2,7,0,0,1,1,1,1,2,1,1,200,41324,4f04b27225bb8df06a0a4417b81c2d1c,0,5.0,0
2,1,266,0,2,1,6,7,2,1,2,1,2,1,1,0,41326,dd7e4618761fb9c590572a6a95cf8df8,0,7.0,1
2,2,283,0,2,2,3,6,2,1,2,2,2,1,1,0,41401,f01e3c8a2650ce3eabb08e3346b5f543,0,4.0,1
2,36,280,264,1,1,2,0,4,3,1,1,1,1,2,200,41326,0da7e531122f0b230973130fab2e076f,0,3.0,3
1,2,307,0,2,2,0,0,2,2,2,1,2,1,1,0,41327,31b73cf72d44acc6b88043881bdc3e55,0,1.0,1
1,2,307,307,2,2,3,0,2,2,3,1,1,1,1,0,41326,e8b60179614aa81703e01108649313b4,0,1.0,4
1,2,307,307,2,2,0,0,2,1,2,1,2,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,7.0,2
1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,744fa4278196568a18fcf5cd7d324ed2,0,1.0,3
1,1,307,0,2,1,2,0,2,1,2,2,3,1,9,0,41326,628663d3620e1f2cf8e18ff6ce0a757c,0,6.0,1
1,2,307,0,1,1,7,0,2,1,1,1,2,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,8.0,2
2,10,266,0,1,1,7,0,3,1,2,2,2,1,1,0,41336,45146cbdb40dc3623587ff2204a72612,0,1.0,2
1,3,307,307,2,1,2,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,2.0,3
2,2,299,266,2,1,6,0,2,1,2,1,2,1,1,0,41401,13b3c0d8590208d6e60e7118bc3b98d1,0,22.0,3
2,8,254,265,2,1,3,0,2,2,3,1,1,1,2,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,3.0,4
1,5,307,0,2,1,0,0,1,1,2,2,2,1,1,0,41326,72b15c67d52ff4724da86e63087f03ec,0,5.0,4
1,2,307,307,1,2,7,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,4.0,1
2,3,266,0,1,1,7,0,1,1,2,1,2,1,1,50,41326,0d8b46656bf122bb46d643805f1a2a46,1,3.0,2
1,36,307,0,2,7,0,0,1,2,1,1,1,1,1,0,41326,e5f791909629e34d5dcef44bbaf3da37,0,5.0,3
1,2,307,0,3,2,7,0,2,2,2,2,2,1,3,0,41326,0577c6c14f7bba1018ebbf0b995f1fbb,0,3.0,2
1,2,307,0,1,7,0,0,2,1,2,2,2,1,1,20,41327,7ed6d84e2e6879245e55447aee39c328,0,1.0,1
2,36,264,0,2,1,2,0,2,3,2,2,1,1,1,0,41401,f5481964200dc726c19b3228f363141a,0,3.0,3
2,2,266,0,1,6,0,0,2,1,2,2,2,1,1,0,41401,01f954cdf61526daf3fbeb8a074be742,0,5.0,2
2,6,266,0,2,3,4,0,2,1,1,1,1,1,1,0,41326,28f8fcf644fd0dbd7f160576547fe041,0,5.0,4
1,1,44,218,3,2,0,0,1,1,2,2,2,1,2,150,41326,4873351d52dc7824ac82b691a1f7deb3,0,1.0,1
2,15,292,266,1,2,5,0,2,1,3,3,3,1,1,0,41326,df959c2b415e626e3257309b58395fc6,0,3.0,1
1,48,20,0,1,1,2,7,2,2,1,1,1,1,1,500,41401,4f50a1d4a9f8cb88c4b607bbe60d8c42,0,0.0,4
2,2,266,0,2,1,6,7,1,1,1,1,2,1,2,0,41326,9bb6a0a909be2c2a172b074d3aa414c2,0,0.0,3
1,60,307,0,1,3,0,0,2,2,1,1,1,1,1,0,41326,21ede361c0d02607827eb853f6126a46,0,3.0,2
1,3,103,307,2,1,2,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,3.0,2
2,24,292,0,2,2,5,0,2,2,2,2,2,1,1,100,41326,438a9bdce8ef4d5948fc40e422d34d0d,0,5.0,2
2,3,266,266,2,1,4,7,2,1,2,2,2,1,2,0,41401,fb29a34287766692ddd61aff38f86d2e,0,1.0,2
2,8,266,0,2,5,0,0,2,1,2,2,2,1,2,0,41401,4b07a493a256169a14eab634ac99ae06,0,6.0,3
1,3,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41401,c944889704c7b141cc60760c48682855,1,3.0,4
2,6,266,266,1,4,0,0,2,1,2,2,2,1,1,0,41401,01f954cdf61526daf3fbeb8a074be742,0,6.0,2
1,67,189,0,1,1,0,0,3,3,1,1,2,1,1,0,41326,d51d5e9b8cf98775a80f819cf1d70fba,0,1.0,1
1,1,307,0,1,1,2,7,2,2,2,2,2,1,1,20,41327,7ed6d84e2e6879245e55447aee39c328,0,1.0,2
1,3,307,0,3,1,2,7,1,1,2,2,2,1,3,0,41401,d5c1a7d8a9492a1957101e626b19f482,0,5.0,2
1,10,307,0,2,2,3,5,2,1,1,1,1,1,1,80,41326,d372aa7115ee3c2e5e4796462dec984b,0,6.0,4
1,3,307,0,1,1,2,7,2,1,2,1,2,1,1,50,41332,5177fbba9abe23520baa9cfd6ed6a9bc,0,2.0,4
2,12,266,0,1,1,2,0,3,1,1,1,2,1,1,0,41401,44cb33c6bc3bb2ef1547c2a059c1d484,0,3.0,4
1,24,307,307,2,7,0,0,1,1,1,1,1,1,1,0,41326,6e01557fa1ba1fa0b1fa133df16411d7,0,3.0,2
2,2,266,0,1,1,2,7,2,1,2,2,2,1,1,0,41401,e6371cc3553cb00a4c190f57a6aa932d,0,3.0,1
2,2,251,245,2,1,0,0,2,1,1,1,2,1,3,0,41326,ddb091ab66a6e93d60f5b29669573393,0,8.0,2
2,2,266,0,3,1,7,0,1,1,2,2,2,1,3,0,41336,29850cc399b39ae862b538f6d3c6a1cd,0,0.0,4
2,12,266,0,2,1,7,0,2,1,3,3,3,1,1,0,41326,7eba9ad1e0e65850c6d0dba4f4e219a8,0,3.0,2
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,56e5bf402cb852ece2604f92e4c5c2a2,0,1.0,4
2,4,251,0,1,3,4,7,2,2,1,1,2,1,1,50,41401,a1508b33c3ef4373813b39fcf599e8be,2,5.0,2
1,50,307,307,2,5,7,0,2,2,2,2,2,1,1,0,41326,1ae5d4750ead8c036a37b675c33d3694,0,4.0,4
2,10,266,266,2,7,0,0,2,2,1,1,1,1,2,0,41326,f4e96cda301914d3a050bc1a938bf94c,0,1.0,3
2,1,299,0,3,1,4,6,1,1,2,2,2,1,4,0,41336,3e433618654eb478c2212a859902c975,0,7.0,3
1,4,307,0,3,1,3,5,2,1,1,1,2,1,4,0,41401,3eb4577d0d4d74b69b057062a734484f,0,4.0,2
2,2,292,265,1,2,0,0,1,2,3,3,3,1,1,0,41401,4d03f38a9dc22d1d89ae70c504816775,0,3.0,1
1,2,307,117,2,1,7,0,2,1,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,8.0,4
1,2,154,0,1,2,0,0,2,1,2,1,2,1,1,0,41401,338061b38713d07096c3edc7ea018fed,0,0.0,4
1,2,307,0,2,5,7,0,3,2,3,3,3,1,1,0,41326,e96d7901bec8cfbb25a934805d705a51,0,5.0,1
2,48,266,0,2,4,0,0,2,1,1,1,1,1,1,0,41401,b1bdb665d0400a7499568bb9ebc226c1,0,9.0,4
1,2,218,307,2,1,2,7,2,1,2,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,1.0,3
1,2,307,0,2,1,4,0,2,1,2,2,2,1,1,0,41326,e194190fa50fdc969ef1e4d063ea7851,0,13.0,2
2,10,266,0,2,4,7,0,2,1,1,1,2,1,1,0,41326,38eaa81a31318a26259ca5a62842baeb,0,5.0,2
1,5,307,0,2,1,2,5,2,1,1,1,1,1,2,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,4.0,3
1,4,307,0,2,6,0,0,2,1,1,1,2,1,1,0,41326,3b074cadd2350de62dca7056b9bab6f4,0,16.0,1
1,2,307,0,3,1,2,0,2,1,2,1,2,1,5,0,41326,c8e895f9f734bd0a042849cdd30c20ef,0,1.0,2
2,1,266,0,2,1,6,7,2,1,2,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,1,16.0,3
1,24,307,0,2,2,7,0,2,1,2,2,2,1,1,0,41326,b59f83b2fd7c9d3b7a48dda693e451b1,0,3.0,3
1,4,307,0,2,1,2,0,2,2,3,3,3,1,2,0,41326,f8a55687b1a559db406b66cf1f560dae,0,0.0,4
1,18,307,0,1,2,0,0,2,2,3,1,3,1,1,0,41401,e0f1dad96ceca1fbd45bac6ea05d4593,0,5.0,2
2,2,266,0,1,1,7,0,1,1,2,1,2,2,1,9,41326,dd4e471fd184fbb112238745f3bf8c75,1,10.0,1
1,1,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,1.0,3
1,72,109,0,1,4,5,0,2,2,3,3,3,1,1,0,41326,103aa6b249cab1993621841ce393ac08,0,3.0,1
2,4,266,0,2,1,2,7,1,2,2,1,2,1,1,0,41401,ee7445af32acfa1dc8307a9dc7baed21,0,2.0,2
2,5,266,0,2,1,7,0,2,1,1,1,2,1,1,0,41401,be9b2030a0c4da5a037a9755ec332714,0,2.0,1
